INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490001', 'KH95234', '2020-07-21 16:54:36', '206160050')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490002', 'KH57072', '2020-05-24 01:29:06', '140803100')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490003', 'KH08402', '2020-05-01 12:35:28', '70828920')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490004', 'KH25380', '2020-06-23 05:00:29', '84894220')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490005', 'KH86741', '2020-07-31 02:49:04', '148347150')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490006', 'KH72417', '2021-05-15 23:03:59', '50564920')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490007', 'KH08151', '2021-05-28 05:53:16', '117446720')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490008', 'KH69126', '2020-07-14 17:14:53', '66387200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490009', 'KH25280', '2021-05-17 12:24:16', '143516320')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490010', 'KH73992', '2020-11-13 21:10:19', '56640780')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490011', 'KH66174', '2021-03-21 00:22:10', '214980990')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490012', 'KH75849', '2021-05-26 21:06:20', '83417310')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490013', 'KH88643', '2020-07-20 09:22:03', '20119860')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490014', 'KH48739', '2021-02-04 18:46:23', '132986100')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490015', 'KH37641', '2021-04-08 12:33:33', '47308400')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490016', 'KH24701', '2020-10-10 02:54:00', '181610200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490017', 'KH42184', '2020-07-03 19:05:17', '164468000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490018', 'KH80958', '2021-06-10 12:57:11', '105738360')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490019', 'KH11394', '2020-11-01 01:36:36', '159344820')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490020', 'KH63688', '2020-08-30 13:13:12', '176196800')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490021', 'KH14451', '2020-11-21 10:04:24', '225932400')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490022', 'KH11361', '2020-10-19 15:57:54', '72948950')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490023', 'KH33845', '2020-08-22 20:56:21', '60211120')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490024', 'KH27571', '2020-09-21 15:01:50', '7289145')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490025', 'KH75082', '2021-05-14 09:47:28', '53019180')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490026', 'KH30101', '2020-12-08 17:07:20', '23231565')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490027', 'KH54424', '2020-12-31 03:50:25', '113227200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490028', 'KH90929', '2021-04-28 02:34:02', '195326720')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490029', 'KH07987', '2020-11-19 11:12:15', '22923000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490030', 'KH04442', '2021-02-11 01:08:20', '15951280')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490031', 'KH65695', '2021-04-04 22:07:59', '85483000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490032', 'KH53616', '2021-01-14 10:58:08', '114844720')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490033', 'KH63600', '2021-05-22 14:01:17', '122411640')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490034', 'KH93377', '2021-04-13 10:41:26', '244224000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490035', 'KH14493', '2021-05-31 23:19:22', '183719920')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490036', 'KH08071', '2021-01-24 11:27:16', '98855685')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490037', 'KH88686', '2020-10-21 16:23:17', '86138770')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490038', 'KH08100', '2020-10-18 06:16:25', '38225200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490039', 'KH19422', '2021-01-30 01:30:03', '73149300')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490040', 'KH21650', '2021-04-01 19:20:25', '63524390')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490041', 'KH90829', '2020-08-07 13:50:22', '87716770')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490042', 'KH41676', '2020-06-21 07:22:25', '203555220')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490043', 'KH41557', '2020-06-26 04:30:49', '148950850')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490044', 'KH32158', '2021-06-08 08:45:20', '6327495')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490045', 'KH83905', '2021-01-17 21:23:50', '25241680')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490046', 'KH67659', '2020-09-04 05:45:02', '79119000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490047', 'KH35332', '2020-09-24 16:07:34', '175231260')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490048', 'KH77784', '2020-11-11 05:49:13', '119140200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490049', 'KH11855', '2021-05-15 20:05:08', '83940820')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490050', 'KH61228', '2020-10-17 06:20:04', '75329680')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490051', 'KH67727', '2021-04-20 01:07:03', '16915070')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490052', 'KH88405', '2020-06-11 18:31:49', '103455280')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490053', 'KH42238', '2020-12-09 00:05:23', '110635260')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490054', 'KH31390', '2020-07-22 08:15:49', '70943120')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490055', 'KH25593', '2020-08-14 10:42:45', '88265950')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490056', 'KH68488', '2021-03-15 08:14:19', '20111120')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490057', 'KH95423', '2020-09-01 23:00:54', '130963120')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490058', 'KH78869', '2021-05-26 03:33:43', '89910480')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490059', 'KH34504', '2021-05-19 06:24:06', '136438700')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490060', 'KH31634', '2020-12-21 03:43:11', '146879200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490061', 'KH10469', '2020-10-30 04:26:14', '110461960')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490062', 'KH05258', '2020-11-13 11:57:14', '122100250')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490063', 'KH92977', '2020-10-01 13:22:39', '132871500')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490064', 'KH45312', '2020-12-09 09:52:56', '36354800')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490065', 'KH95441', '2021-05-10 22:38:43', '107763300')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490066', 'KH93029', '2020-10-09 06:48:23', '178454720')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490067', 'KH68023', '2021-02-19 00:18:14', '17380620')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490068', 'KH96723', '2020-06-11 13:28:43', '243191600')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490069', 'KH99991', '2021-01-02 04:49:19', '98034200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490070', 'KH80255', '2020-12-06 05:46:25', '180021200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490071', 'KH97897', '2020-10-07 16:43:28', '135256800')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490072', 'KH59715', '2020-08-27 19:26:54', '160729200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD490073', 'KH12073', '2020-09-28 11:57:41', '43410720')
