INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070001', 'KH64704', '2021-06-14 18:55:29', '57327030')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070002', 'KH97622', '2020-08-25 01:14:04', '30288870')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070003', 'KH50857', '2020-08-01 04:31:33', '101884770')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070004', 'KH27357', '2021-04-27 19:10:17', '76110000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070005', 'KH10281', '2021-05-21 08:22:58', '54762390')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070006', 'KH09232', '2021-01-22 02:01:29', '105565800')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070007', 'KH80209', '2020-09-08 00:17:30', '87229350')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070008', 'KH47273', '2021-03-07 17:03:20', '50496030')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070009', 'KH57296', '2020-10-26 03:41:48', '74727900')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070010', 'KH21308', '2020-11-08 14:23:09', '28824390')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070011', 'KH43969', '2020-10-27 18:59:59', '32802345')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070012', 'KH97650', '2021-05-20 18:23:15', '25614000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070013', 'KH50937', '2021-04-25 17:20:20', '37010790')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070014', 'KH75794', '2021-04-07 23:49:54', '8870085')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070015', 'KH63074', '2020-10-01 21:59:53', '126187620')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070016', 'KH01723', '2020-05-08 19:14:30', '65190240')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070017', 'KH54211', '2021-02-15 11:46:35', '120188160')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070018', 'KH24123', '2020-11-23 03:14:12', '59469390')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070019', 'KH81425', '2020-11-13 18:11:17', '28456200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070020', 'KH29471', '2021-03-28 14:14:43', '4293630')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070021', 'KH64007', '2020-05-17 00:54:19', '114063300')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070022', 'KH01860', '2020-12-04 03:46:33', '37178730')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070023', 'KH56177', '2020-11-25 22:17:11', '26170290')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD070024', 'KH21957', '2020-06-29 18:04:53', '68975100')
