INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350001', 'KH70405', '2020-07-28 12:59:47', '143362000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350002', 'KH97634', '2021-05-26 15:29:03', '30181950')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350003', 'KH13149', '2021-06-12 03:16:14', '38540500')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350004', 'KH87110', '2020-10-29 23:17:47', '78287490')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350005', 'KH56309', '2020-05-20 04:22:06', '129758500')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350006', 'KH66080', '2020-10-25 05:19:14', '91142300')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350007', 'KH45638', '2020-09-17 12:25:59', '15220400')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350008', 'KH92081', '2020-12-22 18:26:14', '143077500')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350009', 'KH86336', '2021-02-15 01:08:06', '61316200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350010', 'KH56731', '2020-10-21 10:00:20', '80493620')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350011', 'KH58315', '2020-07-02 12:27:55', '121772500')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350012', 'KH42979', '2021-05-05 07:42:15', '9697490')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350013', 'KH59059', '2020-09-18 19:12:26', '160950600')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350014', 'KH47841', '2020-09-20 17:46:36', '105572960')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350015', 'KH48375', '2020-07-10 15:20:50', '105158100')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD350016', 'KH77622', '2020-10-22 01:22:53', '123675160')
