INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270001', 'KH69608', '2021-01-03 16:07:38', '56119770')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270002', 'KH94298', '2021-04-23 05:37:12', '66401640')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270003', 'KH91323', '2021-02-21 16:36:41', '23886000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270004', 'KH73654', '2020-06-13 14:26:54', '29167830')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270005', 'KH85591', '2021-02-05 05:40:43', '49960800')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270006', 'KH89287', '2020-06-03 10:33:55', '36622890')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270007', 'KH70730', '2020-12-17 06:58:34', '66697200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270008', 'KH73745', '2020-10-10 07:33:37', '87983730')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270009', 'KH35642', '2021-01-01 14:54:44', '106014600')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270010', 'KH06663', '2020-10-16 07:39:56', '133824420')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270011', 'KH07637', '2020-12-22 04:48:15', '221565880')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270012', 'KH36592', '2020-06-20 10:32:17', '146546100')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270013', 'KH38317', '2021-04-16 23:17:35', '9315900')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270014', 'KH26682', '2020-11-05 07:07:41', '16599780')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270015', 'KH01696', '2020-05-09 03:31:58', '92205900')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270016', 'KH28745', '2021-03-12 21:19:48', '57305700')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270017', 'KH45470', '2020-06-09 05:02:39', '122397660')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270018', 'KH65700', '2021-01-06 02:39:47', '88496640')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270019', 'KH90896', '2021-05-26 17:02:15', '53778600')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270020', 'KH90891', '2020-10-22 09:30:30', '58123440')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270021', 'KH38577', '2021-04-13 00:02:45', '54877060')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270022', 'KH28068', '2020-06-09 17:13:38', '95586300')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270023', 'KH53769', '2020-10-21 08:06:10', '24832800')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270024', 'KH86194', '2020-06-28 05:06:49', '29341800')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270025', 'KH98345', '2020-10-28 03:17:05', '107905500')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270026', 'KH95197', '2021-06-05 10:40:35', '38557800')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270027', 'KH28074', '2020-06-01 02:23:09', '163636200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270028', 'KH76456', '2020-08-08 18:12:03', '31855500')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270029', 'KH52685', '2020-12-10 06:55:43', '32068980')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270030', 'KH10039', '2021-04-06 04:09:53', '93529080')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270031', 'KH93416', '2021-05-31 09:24:43', '99346500')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270032', 'KH07508', '2020-11-20 15:29:14', '46837800')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270033', 'KH88103', '2021-05-19 00:53:33', '2323620')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270034', 'KH30698', '2020-09-07 05:51:59', '119647800')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270035', 'KH53866', '2021-06-26 22:15:29', '16179300')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270036', 'KH49398', '2020-12-01 08:43:24', '36545985')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270037', 'KH73522', '2021-01-12 14:52:56', '34002585')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270038', 'KH21694', '2020-09-14 11:57:34', '46794780')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270039', 'KH43179', '2020-09-07 05:03:58', '76601340')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270040', 'KH37843', '2021-05-27 20:24:25', '44510580')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD270041', 'KH10338', '2021-04-06 03:29:38', '56898900')
