INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420001', 'KH55858', '2020-12-01 19:24:06', '23880150')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420002', 'KH34497', '2021-02-02 08:56:01', '35861400')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420003', 'KH45272', '2020-06-28 13:05:24', '44446410')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420004', 'KH50108', '2021-05-31 04:08:29', '18877095')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420005', 'KH93922', '2020-12-28 13:06:22', '61320825')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420006', 'KH00774', '2021-04-26 20:22:06', '24913395')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420007', 'KH52980', '2020-10-26 08:08:38', '17055200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420008', 'KH45469', '2021-04-22 02:11:08', '42966000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420009', 'KH67020', '2020-07-26 21:37:08', '25166430')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420010', 'KH97887', '2020-05-27 13:35:08', '47253195')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420011', 'KH45543', '2021-05-02 21:14:51', '57562650')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420012', 'KH88650', '2021-01-31 18:05:11', '26728695')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420013', 'KH46756', '2021-06-23 08:19:00', '139801440')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420014', 'KH05564', '2020-07-05 20:15:48', '36174600')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420015', 'KH86903', '2021-05-26 13:42:08', '5262750')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420016', 'KH87117', '2020-05-09 23:13:11', '150697430')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420017', 'KH29764', '2020-07-07 06:27:59', '54620250')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD420018', 'KH41243', '2020-05-18 16:25:15', '21467250')
