INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460001', 'KH11009', '2020-12-30 11:15:40', '64358550')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460002', 'KH92622', '2020-05-22 07:00:09', '58415400')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460003', 'KH88419', '2021-05-27 17:00:14', '33864570')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460004', 'KH76672', '2021-02-02 00:17:48', '66447900')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460005', 'KH78501', '2020-07-12 21:14:52', '54206460')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460006', 'KH94791', '2021-06-11 00:23:40', '158379120')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460007', 'KH13749', '2020-08-25 04:00:16', '116720820')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460008', 'KH53540', '2020-10-31 08:34:50', '30355290')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460009', 'KH28537', '2020-10-27 07:11:04', '15537690')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460010', 'KH65969', '2020-09-10 00:31:09', '33904890')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460011', 'KH51982', '2021-01-09 14:54:45', '73854000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460012', 'KH22353', '2020-09-30 13:13:18', '77207230')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460013', 'KH80671', '2020-07-08 18:00:33', '54039060')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460014', 'KH58401', '2020-08-27 01:35:32', '44388720')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460015', 'KH63101', '2020-05-10 00:48:41', '77127300')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460016', 'KH92527', '2020-05-29 00:19:20', '14379390')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460017', 'KH36762', '2020-05-01 04:30:28', '150893680')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460018', 'KH75062', '2021-04-29 08:11:50', '21945150')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460019', 'KH23360', '2021-02-18 22:45:55', '110834100')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460020', 'KH04709', '2020-06-20 11:07:12', '33573330')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460021', 'KH77420', '2020-11-21 23:11:39', '101790855')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460022', 'KH02687', '2020-09-08 06:57:59', '73946700')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460023', 'KH36524', '2021-01-19 00:57:17', '22114350')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460024', 'KH39258', '2020-05-02 02:57:39', '36909000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460025', 'KH75176', '2021-02-09 14:49:36', '87348195')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460026', 'KH72462', '2021-03-11 06:26:56', '123186000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460027', 'KH42076', '2021-03-15 18:10:41', '80491500')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460028', 'KH05044', '2021-05-09 19:39:32', '71914300')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460029', 'KH59734', '2021-02-24 00:50:51', '51316290')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460030', 'KH47347', '2020-12-10 12:18:51', '46447740')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460031', 'KH82281', '2020-11-20 11:17:22', '98266770')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460032', 'KH93376', '2021-05-07 00:23:49', '133940100')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD460033', 'KH39680', '2020-10-17 13:16:21', '10461600')
