INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010001', 'KH54923', '2020-07-16 06:11:40', '29119095')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010002', 'KH49168', '2021-03-16 22:34:03', '66893800')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010003', 'KH93673', '2021-03-21 23:14:11', '38168775')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010004', 'KH82244', '2021-06-04 20:35:39', '37414395')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010005', 'KH16466', '2020-09-21 04:15:01', '75298590')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010006', 'KH28775', '2021-05-21 05:34:17', '115234200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010007', 'KH62455', '2020-08-03 09:09:57', '99840735')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010008', 'KH67900', '2020-09-15 20:14:57', '39012345')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010009', 'KH03900', '2021-04-18 19:20:05', '52189200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010010', 'KH16142', '2020-07-12 10:16:23', '11428650')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010011', 'KH89928', '2021-01-31 23:03:19', '47801440')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010012', 'KH07300', '2020-10-30 00:41:15', '52069500')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010013', 'KH97790', '2020-10-14 22:09:03', '7951500')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010014', 'KH52959', '2020-05-24 21:09:17', '167231090')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010015', 'KH18464', '2021-02-17 08:46:58', '61515090')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010016', 'KH72625', '2020-11-30 20:44:11', '17982450')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010017', 'KH65090', '2020-10-29 12:35:21', '6275430')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010018', 'KH72828', '2021-02-05 11:40:42', '81450000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010019', 'KH22744', '2020-12-15 13:52:42', '67764645')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010020', 'KH95827', '2021-05-15 02:56:05', '39690090')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010021', 'KH16994', '2021-01-03 13:19:22', '39157740')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010022', 'KH93805', '2021-04-16 16:46:03', '37045845')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010023', 'KH08399', '2021-03-07 05:41:20', '56031210')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010024', 'KH48801', '2020-08-15 07:21:50', '51379695')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010025', 'KH94755', '2020-09-24 07:08:22', '39240000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010026', 'KH65839', '2021-03-22 00:22:26', '32355000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010027', 'KH32144', '2020-07-25 05:28:44', '2986785')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010028', 'KH55099', '2020-12-04 11:09:03', '75217095')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010029', 'KH51309', '2020-08-30 09:46:16', '51191145')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010030', 'KH74262', '2021-06-26 03:48:02', '14709645')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010031', 'KH11799', '2020-12-26 02:24:55', '9934290')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010032', 'KH14655', '2020-10-13 21:58:41', '54072855')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010033', 'KH29381', '2021-06-18 01:41:12', '7088895')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010034', 'KH15681', '2021-02-28 06:18:50', '113261400')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD010035', 'KH91201', '2021-02-23 19:00:06', '93895200')
