INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230001', 'KH91083', '2020-09-25 07:09:26', '5490450')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230002', 'KH69678', '2020-08-11 11:37:32', '39742245')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230003', 'KH03248', '2021-03-13 12:00:13', '44923500')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230004', 'KH91170', '2020-05-16 03:12:04', '63862695')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230005', 'KH80642', '2020-12-04 17:42:48', '31261590')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230006', 'KH34088', '2021-05-11 07:33:31', '29619945')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230007', 'KH54520', '2020-05-14 15:21:45', '9348930')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230008', 'KH30590', '2020-08-26 22:24:38', '31890060')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230009', 'KH33850', '2021-03-04 04:02:28', '21473550')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230010', 'KH55534', '2020-05-24 02:36:17', '135436500')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230011', 'KH41324', '2020-05-29 09:29:56', '62744850')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230012', 'KH89582', '2021-01-27 09:21:14', '77824200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230013', 'KH13281', '2021-01-19 20:57:06', '14152950')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230014', 'KH08457', '2021-06-04 17:18:52', '64495935')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230015', 'KH23843', '2021-03-21 21:59:32', '13878585')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230016', 'KH72249', '2021-04-13 08:38:09', '10969650')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230017', 'KH42399', '2020-10-21 11:35:28', '185750500')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230018', 'KH33636', '2020-08-20 20:47:40', '74875950')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230019', 'KH22513', '2020-06-11 09:13:30', '21660750')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230020', 'KH28388', '2021-01-05 17:11:55', '23964795')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230021', 'KH14700', '2020-12-10 11:07:13', '45379800')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230022', 'KH82000', '2021-02-21 00:02:47', '33316695')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230023', 'KH54456', '2021-06-06 12:17:32', '15172650')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230024', 'KH17426', '2020-07-15 21:44:58', '12567870')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230025', 'KH15441', '2020-10-30 10:12:19', '109028750')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230026', 'KH48576', '2021-01-16 14:14:40', '58709700')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230027', 'KH38521', '2021-04-16 02:48:57', '26993250')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230028', 'KH57128', '2021-05-20 03:27:30', '15903675')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230029', 'KH57651', '2020-06-18 19:03:54', '42620850')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230030', 'KH86800', '2021-06-23 19:06:13', '42948450')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230031', 'KH14488', '2021-03-22 11:08:31', '74698200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230032', 'KH78637', '2020-10-08 11:57:47', '72103545')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230033', 'KH65850', '2021-03-16 19:35:12', '62167590')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD230034', 'KH35047', '2020-09-17 19:52:44', '99344400')
