INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280001', 'KH14906', '2021-01-02 23:45:08', '80150580')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280002', 'KH61214', '2021-04-23 03:22:27', '108559260')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280003', 'KH63338', '2021-05-23 05:24:32', '23309280')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280004', 'KH50496', '2020-11-11 23:30:23', '64469880')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280005', 'KH97428', '2021-06-06 18:28:59', '80224200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280006', 'KH00892', '2021-06-07 07:02:55', '123670980')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280007', 'KH15039', '2020-10-10 11:14:06', '52882200')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280008', 'KH74066', '2021-02-15 20:07:55', '23020290')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280009', 'KH13018', '2020-06-06 23:46:35', '76656780')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280010', 'KH10492', '2020-05-28 07:19:41', '106866900')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280011', 'KH22044', '2020-05-19 06:29:38', '119244780')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280012', 'KH54160', '2021-06-18 19:39:26', '41616000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280013', 'KH04517', '2021-06-11 11:48:25', '100902780')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280014', 'KH13064', '2020-08-02 20:55:22', '65442780')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280015', 'KH53184', '2020-08-01 09:09:17', '75069090')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280016', 'KH99255', '2021-02-03 10:43:17', '45602100')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280017', 'KH74408', '2020-08-29 22:27:12', '25745040')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280018', 'KH48375', '2020-08-24 15:48:28', '45838980')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280019', 'KH29171', '2020-05-08 08:08:35', '16055100')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280020', 'KH93390', '2020-10-13 07:39:41', '119094030')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280021', 'KH95772', '2020-05-02 11:50:03', '62645400')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280022', 'KH07552', '2020-05-27 23:32:16', '80106300')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280023', 'KH81935', '2020-05-29 17:19:10', '4662000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD280024', 'KH93273', '2021-06-17 11:02:32', '48475800')
