INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300001', 'KH70746', '2021-04-16 00:34:55', '104470680')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300002', 'KH94266', '2020-07-27 04:22:28', '77537310')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300003', 'KH04533', '2020-07-19 13:54:13', '96872550')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300004', 'KH23303', '2021-04-28 02:30:57', '90545400')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300005', 'KH28112', '2020-05-23 03:40:48', '96235440')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300006', 'KH25704', '2021-06-01 00:26:48', '64540020')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300007', 'KH30693', '2021-03-12 13:36:16', '141706860')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300008', 'KH44341', '2020-05-21 07:33:44', '31386600')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300009', 'KH34432', '2021-04-19 17:41:07', '124818000')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300010', 'KH47475', '2021-04-20 11:14:14', '37762680')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300011', 'KH56786', '2021-04-03 03:19:33', '86317380')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300012', 'KH23967', '2021-04-25 08:46:10', '87949440')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300013', 'KH77876', '2020-06-20 12:41:15', '119555400')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300014', 'KH85029', '2020-12-01 09:16:33', '134032920')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300015', 'KH84562', '2021-05-19 02:22:39', '94714570')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300016', 'KH04447', '2021-04-04 17:03:51', '138946440')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300017', 'KH67061', '2021-02-22 03:24:56', '120398040')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300018', 'KH93138', '2020-12-19 05:28:14', '30283500')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300019', 'KH45597', '2020-12-06 00:29:32', '23540490')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300020', 'KH87839', '2020-12-28 14:27:53', '143944800')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300021', 'KH84247', '2020-07-14 20:29:12', '142913680')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300022', 'KH80969', '2021-01-21 19:10:28', '203366940')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD300023', 'KH32366', '2021-04-29 06:11:11', '61898850')
